countryorigin_iso3,tq,row_count,measure_sum
NFK,2015q2,3,5138558
NFK,2015q3,1,4086670
NFK,2015q4,1,8206372
NGA,2015q1,3,448317670
NGA,2015q2,6,810823474
NGA,2015q3,15,1141672855
NGA,2015q4,11,451301364
NIC,2015q1,2,1753665
NIC,2015q2,3,1963648
NIC,2015q3,7,3185203
NIC,2015q4,9,3949583
NLD,2015q1,2189,4907328727
NLD,2015q2,3101,5436519252
NLD,2015q3,4211,5680161009
NLD,2015q4,4357,6472621915
NOR,2015q1,368,527946521
NOR,2015q2,238,636464972
NOR,2015q3,281,376863598
NOR,2015q4,330,343632291
NPL,2015q3,6,692524
NPL,2015q4,5,51485
NRU,2015q3,1,150112
NTZ,2015q1,61,58460430
NTZ,2015q2,40,71804159
NTZ,2015q3,40,21773338
NTZ,2015q4,26,14575100
NZL,2015q1,1484,6525698691
NZL,2015q2,1470,6230960957
NZL,2015q3,1303,5087894324
NZL,2015q4,1341,4050201275
OMN,2015q1,62,240390298
OMN,2015q2,25,129701160
OMN,2015q3,41,84112147
OMN,2015q4,35,57672534
PAK,2015q1,486,1164066390
PAK,2015q2,322,1035845961
PAK,2015q3,334,1783649408
PAK,2015q4,368,1076006900
PAN,2015q1,6,4018916
PAN,2015q2,11,1708351
PAN,2015q3,18,2789033
PAN,2015q4,18,107013085
PER,2015q1,15,82112854
PER,2015q2,28,64814200
PER,2015q3,22,57168528
PER,2015q4,35,135736596
PLW,2015q3,1,654162
PNG,2015q1,34,879008556
PNG,2015q2,39,1013404405
PNG,2015q3,65,1123674554
PNG,2015q4,56,1546211051
POL,2015q1,144,443930106
POL,2015q2,250,299398354
POL,2015q3,458,390728554
POL,2015q4,414,286144194
PRI,2015q1,1,1345340
PRI,2015q2,3,10701128
PRI,2015q3,22,55089532
PRI,2015q4,43,108172819
PRK,2015q1,138,1155235850
PRK,2015q2,154,1623069933
PRK,2015q3,202,1251683652
PRK,2015q4,206,488968161
PRT,2015q1,85,32482413
PRT,2015q2,98,27541819
PRT,2015q3,192,95738785
PRT,2015q4,272,68708742
PRY,2015q1,1,1461760
PRY,2015q2,4,41841128
PRY,2015q3,3,7799480
PRY,2015q4,6,144158020
PYF,2015q1,1,359750
QAT,2015q1,88,9150584695
QAT,2015q2,82,10091029353
QAT,2015q3,96,7438887423
QAT,2015q4,113,3806632486
ROU,2015q1,27,53166097
ROU,2015q2,40,35369095
ROU,2015q3,99,69882647
ROU,2015q4,61,32106543
RUS,2015q1,57,8418215403
RUS,2015q2,104,7356561944
RUS,2015q3,149,5659047238
RUS,2015q4,91,11503134446
RWA,2015q3,1,58770
SAU,2015q1,196,28887788740
SAU,2015q2,153,58017821645
SAU,2015q3,132,45166931780
SAU,2015q4,121,26824370206
SDN,2015q3,1,1866505
SEN,2015q4,4,33022
SGP,2015q1,33753,47922905422
SGP,2015q2,46714,51145417814
SGP,2015q3,65063,64712088034
SGP,2015q4,62819,66319437226
SLB,2015q1,16,66447940
SLB,2015q2,14,21628540
SLB,2015q3,29,339868716
SLB,2015q4,33,170050897
SLE,2015q1,1,26537
SLE,2015q2,1,8974
SLE,2015q3,3,105698
SLE,2015q4,4,1422141
SLV,2015q1,10,4214590
SLV,2015q2,23,4052835
SLV,2015q3,54,3000805
SLV,2015q4,55,2484788
SRB,2015q2,4,922778
SRB,2015q3,2,10436379
SRB,2015q4,5,2793252
SUR,2015q4,1,1323213
SVK,2015q1,9,7170690
SVK,2015q2,36,44442742
SVK,2015q3,37,35847827
SVK,2015q4,70,31851600
SVN,2015q1,31,26214285
SVN,2015q2,51,62694017
SVN,2015q3,100,54175543
SVN,2015q4,124,117952026
SWE,2015q1,1508,1787642641
SWE,2015q2,1709,1428578572
SWE,2015q3,1980,1949306488
SWE,2015q4,1958,1525031026
SWZ,2015q2,1,3997960
SWZ,2015q3,1,782172
SWZ,2015q4,1,107599
SYC,2015q1,18,127908229
SYC,2015q2,8,63751695
SYC,2015q3,11,64895608
SYC,2015q4,7,28251825
SYR,2015q3,2,4372548
SYR,2015q4,2,161601
TCA,2015q1,3,1179955
TCA,2015q2,1,257393
TCA,2015q3,5,11668619
TCA,2015q4,5,153180
TCD,2015q1,1,1218043
TCD,2015q3,2,5103149
TGO,2015q3,1,3952233
TGO,2015q4,1,15445
THA,2015q1,15004,55159486010
THA,2015q2,17577,54408263773
THA,2015q3,27124,65627656768
THA,2015q4,27158,76944045323
TJK,2015q4,1,1683
TON,2015q3,2,11276837
TTO,2015q4,1,3761
TUN,2015q1,5,1558166
TUN,2015q2,5,8939309
TUN,2015q3,10,37124488
TUN,2015q4,11,38678418
TUR,2015q1,595,1151273781
TUR,2015q2,647,1048178217
TUR,2015q3,756,1348103610
TUR,2015q4,733,1752743550
TWN,2015q1,12933,45267627719
TWN,2015q2,17834,54377520333
TWN,2015q3,30781,77972760677
TWN,2015q4,31523,67355379220
TZA,2015q1,4,15381360
TZA,2015q2,5,27677277
TZA,2015q3,19,78452765
TZA,2015q4,5,17862816
UGA,2015q1,1,2308446
UGA,2015q2,3,765613
UGA,2015q3,1,51119
UGA,2015q4,1,3746
UKR,2015q1,121,2139947770
UKR,2015q2,122,888671729
UKR,2015q3,71,914019816
UKR,2015q4,177,3350729046
UMI,2015q4,1,153037
URY,2015q1,446,774957780
URY,2015q2,559,1044527093
URY,2015q3,779,1467503060
URY,2015q4,511,920415280
USA,2015q1,28149,49519502761
USA,2015q2,43692,62229399976
USA,2015q3,67794,89082158219
USA,2015q4,69624,90690074518
UZB,2015q2,2,1314503
VEN,2015q1,2,11727381
VEN,2015q3,1,2496
VEN,2015q4,2,80776
VGB,2015q1,10,6240624
VGB,2015q2,19,42392318
VGB,2015q3,9,5020216
VGB,2015q4,1,44470494
VIR,2015q1,2,2147612
VIR,2015q2,2,1612618
VIR,2015q3,1,29651
VIR,2015q4,2,805756
VNM,2015q1,4031,13696150315
VNM,2015q2,4981,19766179120
VNM,2015q3,8191,23031505755
VNM,2015q4,8304,25066567110
VUT,2015q3,3,62165546
VUT,2015q4,1,47690229
WSM,2015q4,1,26493
YEM,2015q2,1,168779
YEM,2015q4,3,163114
ZAF,2015q1,202,652523252
ZAF,2015q2,259,592767299
ZAF,2015q3,340,945248670
ZAF,2015q4,312,653652723
ZAR,2015q2,1,65285
ZAR,2015q3,4,182729512
ZAR,2015q4,2,3613885
ZMB,2015q1,2,8292766
ZMB,2015q2,4,26435395
ZMB,2015q3,6,32348410
ZMB,2015q4,8,75552495
ZWE,2015q1,4,25992484
ZWE,2015q2,3,12082231
ZWE,2015q3,6,43934402
ZWE,2015q4,2,10984853
